IDNAME_A|DATA1|DATA2|DATA3
A,236|36.2091582925|1.11397668844|22.5618385903
A,686|33.093768329|-49.828123109|16.6024718523
A,658|-33.0392809484|4.65863876407|23.9631830418
A,617|43.5963083571|-10.940120224|
A,341||-36.0845624064|44.7217054613
A,605|27.0944328058|33.8198699286|49.170617656
A,356|13.5498297903|-4.02100409284|26.8664622276
A,201|-29.6626541689|-23.3749032654|-3.50762435156
A,247|-37.5977736619|43.1416930216|-33.6637166213
A,428|-23.3996307302|-6.22211479632|
A,253|-42.0738254066|-34.2317384864|30.6923589461
A,121|1.79346602215|-35.7961692044|-35.3382070462
A,757||-42.4523793535|
A,452|0.990178300441|22.9280698972|
A,022||-34.3376356659|-32.1511407599
A,044|33.185357475|34.8116712336|16.8121393708
A,574||-10.5777928509|
A,991|14.0828485201|-37.0570886978|39.589746043
A,965|-25.3513061662|24.22529025|28.5108083753
A,675|35.710894671|21.686074073|-37.326499636
A,017|-22.9453368523|16.8309283902|-39.8486560725
A,070|-22.0357803474|17.2485049476|-15.4400615997
A,125|||
A,498||5.40087303425|-44.4683398381
A,284|12.0418428495||-37.5998264134
A,813|10.2102237263||-49.8222471107
A,733||10.8123992383|42.8399056923
A,786|-46.9195446225||17.1901581066
A,111||38.8825517135|47.1127111858
A,889|3.49918347806|43.1608494471|-22.6369403034
A,719|-16.0133436865|-48.8915342566|
A,461|-18.5419785871|-3.15928518677|38.1747161224
A,269||32.4836817909|-48.0959240774
A,037|9.53173473199|8.66085805529|39.5475473065
A,306|-4.10488114417|-6.29922265776|-43.763169875
A,116|12.5923201334|22.547924054|19.3138765148
A,443|-34.4270586361|33.2466595656|4.11227495671
A,403|17.8385899302|1.76337813408|4.88504468689
A,304|48.9737152797|23.4631477024|14.0084389856
A,013|-8.969842494|7.54369904304|-17.48046335
A,627|-9.58562786746||-26.6356742847
A,928|-33.0508807077||-38.7850973428
A,088||41.3510168131|23.3992788487
A,937|-49.3296732581|18.4251644473|
A,670|6.27303291196|0.0641642863898|2.80566913537
A,585|39.6123206319|-8.18382989133|44.6907499853
A,002|-14.3011311861||8.4132320087
A,092|-26.3768138844|13.4770976276|-28.1151136612
A,511|||42.7336177513
A,150||49.448048233|13.4273511195
A,531||13.16361072|12.1883602767
A,287|-25.5561730237|-0.0187039329033|-45.7660630806
A,900|-43.6642823576|19.8873372432|-35.9490053021
A,597|7.05166709651|-33.1101367089|44.2292122609
A,310||23.7285453592|
A,292|47.4960196869|-45.1489906341|28.1952934505
A,046|-13.0996045919|4.56007866066|
A,487||-36.1032321143|-5.73924683484
A,914|-14.541104735|42.8218918493|-37.7765747105
A,101|25.582788025||-34.4402809299
A,953|||
A,773|-15.7419367499|-6.16868096463|-45.6459260365
A,694|8.20491363584||25.3176588387
A,926|19.4914278107|47.4811776622|-25.306794832
A,623|44.5000712013||-0.146755291558
A,344|48.7229831066|3.84959956366|31.286019639
A,416|47.8082242214|5.98081165069|
A,680||17.2691411216|-22.9694927679
A,495|-46.2525885722||
A,303|-42.4305885318||
A,861|-3.37026720968|34.0920319448|
A,316||-36.884818447|
A,402|-28.6047621228||
A,682|-24.9223585319|-43.3324145544|-3.62549704501
A,049|-46.2066885013|17.5409113622|-45.9360813882
A,499|-3.8180357073|-40.8159016056|-14.6048785849
A,684|44.6319789833|-26.7102860056|-13.3625871599
A,118|5.9652598911|-47.7316501035|-5.3887457563
A,340||37.7711561025|
A,094|-16.7671841368|-48.8638212839|43.7868671072
A,985|-37.130006705|-4.97737918551|47.3775594405
A,369|-13.3954212644|-45.3867708125|1.62319313236
A,643|30.7350286808|-20.7839719521|0.835549422311
A,488|-11.2291875714|-42.7315974203|-1.69822682083
A,256||-8.6042705037|9.12973209181
A,327|33.9059901574||7.78718275598
A,350|48.1146580385|-3.81381512896|45.9894858103
A,009|-9.90405888895|38.5315497352|-49.1748051956
A,295|-16.8735641794|38.91766978|22.1236109469
A,084|-38.4838385682|-11.898262357|-16.4394524632
A,919|-8.55528176793|-44.2015959625|48.4277461418
A,423|34.2740938886|0.99932139038|-38.5930626649
A,516|-17.4683532308|-36.3194955189|-15.5906408016
A,563|14.6383463893|-44.0856992209|28.7463081127
A,043|36.256757786|30.1843588264|9.78147965673
A,891|-8.5117839753|-32.7864301668|
A,548|37.6672487992|49.236320217|28.7636675344
A,169||-37.9735587074|48.222349848
A,206||-17.7639926522|-32.2231519543
A,801|27.7965208098|-31.4617313597|-18.3060192528
A,596|42.842431304|5.39112614875|-45.9937377825
A,023|19.0263174185|13.1582077492|-33.0303068946
A,788|49.0585869876|41.1542870842|31.3389128443
A,999|-19.287967652|11.795316004|-36.0956894408
A,562||-48.1835489111|-42.7021071229
A,048|-11.1744146604|-44.9544247502|39.1071204139
A,955|-47.0040891466|-13.4137673341|
A,850|29.1737676229|-30.1404075448|40.9593112901
A,036|-10.1344564174||
A,375||-1.89631497907|-15.0581845272
A,752|-27.9156531742|38.7015190935|
A,251|15.2751464473|-4.47199809956|
A,766|-30.8754337789|0.718469700386|
A,491|-27.0769612405|0.842599854291|
A,380|3.16565677517|19.2796566709|16.4185653623
A,357||-25.7712041229|8.41402201663
A,389|-24.0328962788||7.10730824558
A,264|13.0233561274|-6.34712939008|16.9444284018
A,437||-32.3949262331|-30.7122829889
A,345||-41.4859623794|-29.0470761214
A,995|-1.11746601719|27.2711075043|
A,838|||
A,946||-5.2092069814|40.3808896703
A,426|27.0544099319|-45.9994416579|7.27871233357
A,484|13.2897026542|-11.1812526581|9.23899352992
A,863|-38.9415162151|30.491687462|-19.3718061095
A,756|-40.346800996|40.5876791699|
A,843|1.18195059755|-3.97818060164|6.03744922918
