IDNAME_A|IDNAME_B
A,585|B,948
A,940|B,802
A,464|B,624
A,219|B,252
A,403|B,037
A,858|B,397
A,620|B,944
A,192|B,814
A,206|B,031
A,073|B,542
A,395|B,530
A,870|B,125
A,577|B,101
A,958|B,658
A,028|B,268
A,841|B,348
A,660|B,092
A,681|B,304
A,415|B,186
A,592|B,067
A,029|B,353
A,139|B,598
A,613|B,004
A,055|B,599
A,800|B,687
A,775|B,246
A,652|B,175
A,560|B,312
A,886|B,345
A,269|B,838
A,438|B,444
A,843|B,288
A,650|B,315
A,936|B,362
A,125|B,468
A,154|B,261
A,310|B,660
A,446|B,626
A,104|B,035
A,121|B,183
A,014|B,221
A,373|B,062
A,995|B,870
A,331|B,271
A,441|B,746
A,457|B,329
A,967|B,716
A,003|B,330
A,419|B,824
A,673|B,340
A,169|B,013
A,255|B,556
A,389|B,103
A,495|B,356
A,359|B,039
A,644|B,885
A,384|B,994
A,826|B,391
A,722|B,470
A,825|B,390
A,223|B,069
A,830|B,170
A,474|B,258
A,286|B,296
A,117|B,297
A,865|B,036
A,637|B,374
A,204|B,577
A,715|B,522
A,032|B,339
A,938|B,159
A,742|B,899
A,439|B,493
A,533|B,005
A,918|B,179
A,666|B,628
A,902|B,894
A,262|B,818
A,272|B,107
A,183|B,906
A,864|B,441
A,840|B,273
A,507|B,517
A,301|B,762
A,454|B,712
A,268|B,656
A,667|B,116
A,137|B,801
A,436|B,625
A,701|B,482
A,052|B,136
A,994|B,372
A,284|B,034
A,227|B,292
A,479|B,611
A,456|B,359
A,945|B,526
A,005|B,133
A,906|B,597
A,625|B,664
A,960|B,029
A,178|B,519
A,326|B,738
A,724|B,305
A,764|B,719
A,287|B,352
A,358|B,059
A,129|B,868
A,862|B,220
A,102|B,747
A,381|B,668
A,559|B,866
A,333|B,898
A,953|B,690
A,016|B,022
A,794|B,477
A,247|B,859
A,529|B,396
A,198|B,218
A,342|B,609
A,377|B,423
A,898|B,893
A,574|B,777
A,631|B,680
A,200|B,737
A,805|B,120
A,303|B,685
A,570|B,387
A,605|B,844
A,987|B,732
A,202|B,147
A,817|B,837
A,452|B,342
A,475|B,989
A,469|B,954
A,562|B,427
A,890|B,873
A,195|B,503
A,251|B,999
A,383|B,440
A,235|B,800
A,573|B,847
A,270|B,839
A,033|B,055
A,045|B,861
A,367|B,086
A,648|B,539
A,591|B,635
A,509|B,629
A,057|B,773
A,847|B,600
A,894|B,709
A,842|B,545
A,051|B,409
A,583|B,418
A,325|B,095
A,418|B,085
A,772|B,338
A,828|B,672
A,789|B,332
A,743|B,502
A,159|B,970
A,506|B,955
A,188|B,659
A,545|B,469
A,848|B,002
A,238|B,139
A,042|B,645
A,532|B,295
A,590|B,538
A,935|B,991
A,459|B,700
A,037|B,514
A,341|B,145
A,181|B,071
A,167|B,447
A,973|B,078
A,370|B,671
A,569|B,349
A,571|B,458
A,552|B,276
A,031|B,641
A,734|B,642
A,150|B,501
A,105|B,393
A,889|B,166
A,140|B,771
A,435|B,674
A,447|B,950
A,246|B,182
A,092|B,744
A,059|B,937
A,617|B,121
A,802|B,560
A,312|B,255
A,819|B,552
A,735|B,437
A,996|B,269
A,643|B,259
A,696|B,725
A,076|B,695
A,291|B,559
A,203|B,197
A,554|B,003
A,041|B,402
A,420|B,936
A,609|B,769
A,852|B,998
A,779|B,405
A,240|B,303
A,702|B,875
A,806|B,384
A,316|B,357
A,776|B,854
A,236|B,435
A,992|B,364
A,491|B,630
A,807|B,206
A,492|B,475
A,098|B,833
A,470|B,016
A,981|B,155
A,813|B,180
A,638|B,176
A,901|B,417
A,604|B,938
A,803|B,897
A,567|B,392
A,983|B,230
A,756|B,788
A,903|B,433
A,624|B,334
A,144|B,047
A,761|B,882
A,632|B,840
A,555|B,554
A,538|B,023
A,646|B,684
A,022|B,018
A,213|B,202
A,363|B,051
A,791|B,042
A,371|B,015
A,210|B,054
A,460|B,227
A,797|B,486
A,685|B,108
A,487|B,316
A,933|B,355
A,907|B,963
A,497|B,049
A,160|B,459
A,089|B,318
A,821|B,461
A,040|B,344
A,663|B,494
A,493|B,889
A,751|B,654
A,512|B,584
A,575|B,439
A,180|B,212
A,816|B,361
A,795|B,790
A,968|B,811
A,448|B,462
A,027|B,767
A,612|B,091
A,467|B,831
A,214|B,489
A,391|B,865
A,276|B,795
A,256|B,636
A,035|B,848
A,990|B,112
A,944|B,283
A,809|B,862
A,566|B,424
A,065|B,582
A,758|B,569
A,226|B,474
A,411|B,810
A,707|B,284
A,281|B,245
A,777|B,192
A,977|B,787
A,602|B,943
A,345|B,644
A,614|B,745
A,752|B,752
A,451|B,313
A,921|B,128
A,212|B,997
A,026|B,699
A,769|B,132
A,001|B,961
A,375|B,670
A,062|B,774
A,572|B,863
A,849|B,074
A,900|B,607
A,094|B,009
A,356|B,783
A,657|B,987
A,873|B,939
A,884|B,181
A,335|B,358
A,815|B,575
A,366|B,498
A,737|B,154
A,881|B,465
A,598|B,905
A,348|B,476
A,498|B,395
A,266|B,122
A,949|B,017
A,217|B,445
A,056|B,463
A,924|B,676
A,123|B,692
A,989|B,506
A,490|B,320
A,897|B,162
A,833|B,850
A,330|B,878
A,854|B,366
A,939|B,986
A,215|B,567
A,659|B,578
A,564|B,144
A,839|B,869
A,252|B,434
A,762|B,105
A,378|B,904
A,755|B,919
A,993|B,707
A,790|B,354
A,149|B,821
A,233|B,451
A,823|B,083
A,426|B,165
A,969|B,953
A,869|B,172
A,750|B,876
A,951|B,984
A,728|B,443
A,955|B,872
A,084|B,415
A,427|B,563
A,680|B,302
A,654|B,816
A,558|B,908
A,893|B,014
A,937|B,219
A,225|B,892
A,434|B,452
A,172|B,215
A,500|B,399
A,526|B,487
A,019|B,531
A,730|B,019
A,787|B,827
A,101|B,951
A,486|B,846
A,754|B,697
A,404|B,020
A,971|B,024
A,600|B,124
A,292|B,241
A,510|B,613
A,113|B,457
A,857|B,857
A,443|B,149
A,293|B,527
A,525|B,910
A,280|B,730
A,176|B,935
A,043|B,574
A,228|B,714
A,520|B,343
A,393|B,555
A,641|B,812
A,327|B,088
A,975|B,106
A,161|B,623
A,925|B,211
A,565|B,190
A,662|B,724
A,407|B,298
A,343|B,404
A,416|B,499
A,623|B,960
A,868|B,900
A,824|B,431
A,349|B,880
A,023|B,739
A,237|B,473
A,283|B,627
A,145|B,455
A,689|B,173
A,872|B,717
A,876|B,754
A,421|B,605
A,716|B,979
A,100|B,148
A,714|B,952
A,916|B,232
A,845|B,068
A,230|B,500
A,718|B,761
A,267|B,254
A,355|B,381
A,757|B,995
A,675|B,978
A,878|B,272
A,534|B,825
A,582|B,080
A,783|B,188
A,814|B,495
A,221|B,639
A,649|B,322
A,275|B,225
A,837|B,119
A,361|B,841
A,957|B,573
A,677|B,918
A,097|B,813
A,748|B,981
A,305|B,235
A,745|B,308
A,923|B,652
A,669|B,161
A,744|B,789
A,162|B,764
A,548|B,199
A,770|B,633
A,053|B,616
A,589|B,922
A,810|B,141
A,009|B,309
A,655|B,594
A,107|B,377
A,850|B,568
A,376|B,867
A,628|B,428
A,621|B,413
A,433|B,481
A,463|B,673
