IDNAME_B|IDNAME_C
B,371|C,125
B,855|C,497
B,428|C,990
B,142|C,678
B,636|C,048
B,320|C,141
B,368|C,703
B,409|C,603
B,956|C,706
B,113|C,150
B,872|C,714
B,544|C,765
B,165|C,236
B,407|C,654
B,212|C,399
B,738|C,351
B,983|C,327
B,267|C,075
B,200|C,073
B,823|C,115
B,721|C,401
B,215|C,515
B,940|C,378
B,870|C,971
B,552|C,586
B,308|C,907
B,668|C,834
B,050|C,221
B,673|C,116
B,537|C,556
B,235|C,109
B,782|C,848
B,342|C,356
B,768|C,242
B,564|C,121
B,661|C,838
B,343|C,085
B,330|C,055
B,678|C,899
B,822|C,317
B,665|C,074
B,902|C,770
B,310|C,551
B,869|C,557
B,821|C,482
B,478|C,287
B,148|C,966
B,786|C,448
B,690|C,853
B,245|C,998
B,346|C,746
B,399|C,272
B,965|C,888
B,536|C,001
B,989|C,468
B,575|C,828
B,889|C,359
B,250|C,724
B,776|C,071
B,450|C,712
B,799|C,918
B,945|C,057
B,236|C,386
B,852|C,865
B,590|C,969
B,421|C,215
B,896|C,072
B,332|C,520
B,877|C,300
B,077|C,296
B,908|C,927
B,909|C,718
B,963|C,994
B,523|C,708
B,315|C,095
B,121|C,741
B,843|C,264
B,298|C,891
B,770|C,661
B,771|C,845
B,767|C,816
B,638|C,769
B,854|C,033
B,688|C,458
B,419|C,140
B,277|C,815
B,718|C,872
B,339|C,362
B,030|C,558
B,216|C,013
B,232|C,532
B,307|C,270
B,646|C,012
B,549|C,710
B,520|C,803
B,687|C,522
B,884|C,439
B,444|C,857
B,900|C,540
B,824|C,968
B,115|C,312
B,157|C,727
B,406|C,396
B,895|C,939
B,864|C,178
B,034|C,809
B,928|C,169
B,630|C,650
B,613|C,204
B,150|C,391
B,635|C,350
B,964|C,492
B,504|C,606
B,427|C,388
B,020|C,501
B,405|C,288
B,302|C,427
B,328|C,651
B,600|C,471
B,603|C,445
B,951|C,677
B,516|C,330
B,948|C,529
B,380|C,732
B,783|C,742
B,146|C,904
B,868|C,592
B,045|C,400
B,414|C,266
B,153|C,959
B,411|C,292
B,378|C,145
B,741|C,456
B,543|C,643
B,244|C,212
B,389|C,748
B,878|C,697
B,840|C,987
B,481|C,578
B,398|C,256
B,056|C,118
B,797|C,524
B,285|C,137
B,321|C,902
B,002|C,992
B,506|C,519
B,571|C,120
B,640|C,510
B,990|C,281
B,942|C,278
B,531|C,161
B,606|C,729
B,415|C,374
B,258|C,929
B,063|C,392
B,860|C,562
B,168|C,099
B,662|C,247
B,529|C,185
B,282|C,832
B,194|C,494
B,683|C,114
B,335|C,836
B,742|C,594
B,364|C,535
B,205|C,011
B,214|C,569
B,128|C,110
B,539|C,858
B,765|C,829
B,391|C,574
B,949|C,250
B,167|C,485
B,712|C,436
B,798|C,637
B,723|C,984
B,259|C,667
B,386|C,632
B,858|C,133
B,185|C,641
B,465|C,343
B,886|C,852
B,844|C,668
B,064|C,408
B,610|C,244
B,410|C,091
B,090|C,162
B,013|C,097
B,565|C,328
B,626|C,056
B,490|C,101
B,116|C,605
B,669|C,747
B,211|C,841
B,354|C,823
B,986|C,156
B,729|C,444
B,373|C,358
B,578|C,659
B,589|C,780
B,749|C,357
B,159|C,805
B,857|C,676
B,119|C,148
B,766|C,369
B,899|C,911
B,491|C,117
B,953|C,106
B,213|C,102
B,141|C,165
B,136|C,735
B,379|C,228
B,093|C,422
B,802|C,560
B,674|C,082
B,175|C,093
B,486|C,064
B,534|C,342
B,935|C,394
B,733|C,035
B,579|C,900
B,645|C,234
B,225|C,894
B,793|C,294
B,322|C,588
B,047|C,387
B,220|C,376
B,628|C,623
B,827|C,293
B,338|C,017
B,583|C,591
B,699|C,792
B,597|C,390
B,978|C,126
B,184|C,595
B,865|C,081
B,743|C,370
B,885|C,563
B,842|C,403
B,938|C,023
B,118|C,986
B,454|C,527
B,530|C,086
B,120|C,066
B,179|C,462
B,158|C,326
B,172|C,760
B,129|C,284
B,596|C,995
B,432|C,353
B,350|C,440
B,359|C,257
B,497|C,289
B,385|C,549
B,109|C,183
B,065|C,498
B,686|C,597
B,680|C,545
B,763|C,779
B,957|C,124
B,401|C,240
B,279|C,813
B,730|C,616
B,982|C,345
B,060|C,582
B,329|C,384
B,874|C,587
B,819|C,536
B,182|C,761
B,681|C,890
B,748|C,685
B,971|C,069
B,834|C,349
B,550|C,756
B,125|C,147
B,035|C,817
B,528|C,329
B,547|C,804
B,460|C,695
B,387|C,222
B,144|C,025
B,594|C,132
B,434|C,640
B,722|C,046
B,403|C,305
B,633|C,232
B,272|C,199
B,848|C,154
B,166|C,155
B,201|C,041
B,849|C,561
B,017|C,620
B,675|C,219
B,961|C,027
B,463|C,824
B,839|C,585
B,656|C,214
B,593|C,696
B,912|C,295
B,106|C,480
B,076|C,379
B,219|C,469
B,218|C,867
B,518|C,006
B,303|C,831
B,929|C,957
B,617|C,009
B,792|C,960
B,195|C,067
B,164|C,954
B,873|C,070
B,974|C,936
B,781|C,622
B,790|C,744
B,538|C,267
B,925|C,589
B,976|C,059
B,187|C,087
B,944|C,108
B,731|C,476
B,916|C,701
B,801|C,961
B,838|C,716
B,228|C,996
B,027|C,543
B,601|C,315
B,284|C,461
B,376|C,200
B,316|C,884
B,995|C,196
B,806|C,175
B,554|C,726
B,233|C,963
B,586|C,361
B,377|C,248
B,871|C,393
B,349|C,976
B,396|C,060
B,479|C,089
B,435|C,483
B,567|C,932
B,708|C,655
B,663|C,308
B,210|C,840
B,018|C,633
B,866|C,619
B,154|C,253
B,271|C,218
B,496|C,624
B,664|C,083
B,005|C,385
B,720|C,812
B,024|C,416
B,732|C,720
B,832|C,409
B,713|C,220
B,441|C,339
B,264|C,135
B,988|C,491
B,449|C,576
B,778|C,572
B,614|C,340
B,019|C,402
B,898|C,688
B,969|C,692
B,499|C,405
B,327|C,937
B,147|C,297
B,004|C,429
B,257|C,040
B,764|C,321
B,697|C,627
B,851|C,943
B,132|C,275
B,028|C,979
B,404|C,525
B,845|C,555
B,980|C,715
B,814|C,159
B,521|C,915
B,751|C,371
B,999|C,367
B,933|C,666
B,570|C,223
B,968|C,348
B,515|C,610
B,081|C,920
B,445|C,566
B,608|C,168
B,952|C,942
B,644|C,486
B,666|C,863
B,440|C,398
B,679|C,271
B,998|C,411
B,294|C,347
B,717|C,465
B,275|C,417
B,426|C,626
B,382|C,896
B,561|C,602
B,041|C,723
B,649|C,474
B,448|C,230
B,947|C,730
B,619|C,193
B,826|C,130
B,735|C,618
B,137|C,324
B,684|C,438
B,021|C,507
B,062|C,879
B,836|C,489
B,777|C,157
B,660|C,166
B,693|C,866
B,092|C,472
B,484|C,381
B,907|C,752
B,755|C,460
B,930|C,208
B,913|C,428
B,795|C,406
B,648|C,336
B,676|C,277
B,202|C,705
B,634|C,801
B,914|C,309
B,535|C,338
B,190|C,323
B,470|C,512
B,408|C,873
B,086|C,407
B,217|C,467
B,918|C,753
B,073|C,054
B,230|C,615
B,269|C,630
B,008|C,216
B,901|C,876
B,615|C,167
B,012|C,611
B,609|C,015
B,095|C,395
B,910|C,808
B,556|C,382
B,110|C,681
B,266|C,018
B,016|C,418
B,937|C,231
B,891|C,581
B,508|C,897
B,241|C,068
B,602|C,225
B,931|C,608
B,629|C,043
B,533|C,717
B,261|C,290
B,691|C,978
B,313|C,860
B,631|C,341
B,229|C,993
B,022|C,964
B,026|C,481
B,193|C,202
B,667|C,389
B,207|C,261
B,319|C,273
B,970|C,660
B,180|C,021
B,745|C,375
B,774|C,638
B,071|C,739
B,130|C,044
B,080|C,226
B,607|C,612
B,161|C,077
B,724|C,058
B,862|C,833
B,502|C,951
B,960|C,662
B,761|C,871
B,123|C,903
B,140|C,977
B,222|C,949
