IDNAME_A|DATA1|DATA2|DATA3
A,913|41.7944516801|0.468542939183|
A,577|15.3983745219|-2.20891418334|
A,616|26.7729776567|5.31594945588|43.6931198106
A,646|-22.2853460289||-23.5197710499
A,390|8.33913687789|-10.9406957738|-36.9911564563
A,990|-37.0521677262|-12.3351060579|34.4882092129
A,099||12.6094139024|
A,731|48.4312315122||10.5223275384
A,881|-3.37239342339|45.4095711496|
A,287|29.1220525121||25.9884528377
A,165||6.17111975377|-15.3284479823
A,229|-23.7549626246||8.42688732175
A,658|28.4236155012|27.5583212124|-12.4494527838
A,388|22.4248664491|14.9167092481|17.7137529679
A,584|42.3356716783|43.2254364748|49.6512813065
A,392|0.00209481828117|-14.0975423908|3.10581996831
A,547|32.3469510074|26.3480989567|
A,859|24.9890751716||46.0397243892
A,691|5.54154138747|-31.0144178483|
A,697|-33.5253891635|-29.9343547262|
A,440|-44.6262056855|17.3789302106|
A,411|-1.30369064895|11.1187493852|-48.3873796608
A,778|-37.2955057939|-44.988641255|10.3442254642
A,655|-17.826710745|37.2082965712|
A,233|32.6081370051|49.8040341775|
A,319|38.2868787438|8.0734104983|45.9445930794
A,457|||-41.0648333454
A,379|-21.2830002641|-29.8316763477|-16.0367828087
A,702|-13.7373706749||29.3343869726
A,018|49.8604233432|8.66266352429|
A,195|33.2000441303|19.2031732546|-0.00327035631974
A,492|-30.2217774453|32.9279073105|43.4514720888
A,926|-4.52118255617||6.17544961811
A,893||9.9608991311|42.1749952082
A,952|39.6220617509|23.3527694916|-6.09442855593
A,734|22.131482744|-23.0410541206|-29.9149826792
A,459|-34.5332887275||24.4040931382
A,302|-46.1606262742|40.3601355877|46.0407389285
A,690|36.6961878725||
A,612||42.0830926105|-38.4328089593
A,964|1.38446654347|2.37961029387|47.0272039835
A,216||-26.8113221819|
A,374|-8.40521121645|5.42662828107|-31.2182515451
A,525|||
A,574|-41.5066254308|11.8215099867|
A,824||26.0413231553|47.739817372
A,272|7.64126148081|-41.9462369599|-45.437272196
A,364||-41.9147277905|-41.8467614777
A,010|-11.9192809605|0.314725019302|-15.6029985566
A,880|-23.587454343|-23.3174763707|-1.05649629628
A,202|13.8932907288|-11.8420916084|-2.00018493377
A,224|1.77203720503|24.6133079804|
A,403|11.11863177|-24.8812113046|45.0227347918
A,152|8.56345909709||
A,793|-13.9300819365|-13.0681642786|-23.7996412632
A,474|-42.2249765884|16.4422725224|-34.9019718348
A,089|-1.88617642678|24.0511388352|28.3531622262
A,495|45.7127393237||42.4944945477
A,106|||-22.5882767376
A,232|1.31382761761|-15.3031415882|-26.3627013922
A,021|-42.5424321467||31.5472814681
A,650|-22.5328950468|49.41228783|38.3706503104
A,549|-15.52887827|5.46565613834|
A,943|8.60936821889|-8.35508068674|-41.3584429544
A,836|-29.697443893|40.3435821879|35.7995134713
A,678|-37.9757150526|-46.642411288|
A,257|-39.7104920985|-40.3752308682|-22.1891690487
A,878|-42.5758975647|-38.5511597844|25.2585751472
A,499||33.7451329505|28.9439576023
A,162|-25.0544846557||23.4989496577
A,865|-18.8003361811||-43.5315511107
