IDNAME_A|IDNAME_B
A,389|B,733
A,600|B,256
A,428|B,239
A,302|B,060
A,365|B,866
A,336|B,306
A,972|B,441
A,417|B,786
A,928|B,507
A,773|B,397
A,552|B,666
A,063|B,567
A,545|B,695
A,158|B,799
A,019|B,022
A,665|B,426
A,698|B,609
A,095|B,318
A,661|B,170
A,357|B,167
A,957|B,651
A,482|B,601
A,785|B,793
A,152|B,000
A,393|B,206
A,498|B,784
A,724|B,080
A,089|B,860
A,660|B,331
A,252|B,753
A,217|B,279
A,819|B,715
A,805|B,742
A,725|B,872
A,081|B,439
A,563|B,067
A,272|B,727
A,611|B,912
A,243|B,264
A,094|B,616
A,347|B,934
A,584|B,569
A,219|B,043
A,904|B,599
A,970|B,232
A,376|B,504
A,046|B,735
A,456|B,250
A,926|B,862
A,937|B,792
A,789|B,185
A,093|B,108
A,052|B,246
A,267|B,255
A,917|B,867
A,224|B,380
A,842|B,438
A,421|B,693
A,936|B,274
A,279|B,691
A,804|B,459
A,103|B,220
A,606|B,317
A,923|B,594
A,594|B,180
A,361|B,684
A,696|B,433
A,997|B,218
A,977|B,608
A,429|B,899
A,117|B,845
A,233|B,094
A,750|B,291
A,458|B,445
A,380|B,641
A,173|B,316
A,531|B,353
A,162|B,335
A,889|B,300
A,006|B,269
A,778|B,919
A,226|B,940
A,833|B,367
A,203|B,989
A,197|B,559
A,451|B,171
A,229|B,494
A,569|B,420
A,132|B,136
A,708|B,453
A,694|B,898
A,699|B,661
A,383|B,888
A,769|B,082
A,566|B,069
A,511|B,673
A,500|B,214
A,157|B,861
A,914|B,946
A,681|B,537
A,962|B,918
A,671|B,038
A,262|B,937
A,044|B,488
A,088|B,468
A,618|B,549
A,200|B,508
A,507|B,600
A,116|B,706
A,993|B,226
A,786|B,812
A,686|B,751
A,526|B,308
A,727|B,615
A,045|B,807
A,994|B,152
A,057|B,195
A,115|B,854
A,356|B,950
A,679|B,517
A,084|B,690
A,025|B,495
A,524|B,827
A,591|B,288
A,799|B,843
A,915|B,629
A,616|B,636
A,554|B,098
A,657|B,728
A,290|B,265
A,375|B,446
A,015|B,148
A,868|B,344
A,969|B,336
A,839|B,401
A,304|B,004
A,838|B,878
A,879|B,019
A,130|B,642
A,385|B,435
A,669|B,207
A,711|B,525
A,185|B,015
A,073|B,115
A,236|B,713
A,466|B,865
A,020|B,974
A,515|B,995
A,349|B,320
A,386|B,730
A,494|B,146
A,752|B,334
A,392|B,775
A,425|B,654
A,343|B,809
A,359|B,499
A,925|B,575
A,555|B,407
A,305|B,535
A,434|B,491
A,454|B,465
A,653|B,986
A,873|B,712
A,658|B,127
A,186|B,767
A,079|B,744
A,872|B,771
A,327|B,162
A,140|B,205
A,040|B,755
A,127|B,364
