IDNAME_B|IDNAME_C
B,345|C,664
B,526|C,197
B,266|C,370
B,149|C,080
B,774|C,549
B,962|C,165
B,284|C,516
B,127|C,157
B,326|C,321
B,711|C,470
B,399|C,668
B,902|C,217
B,865|C,683
B,368|C,856
B,660|C,362
B,405|C,621
B,851|C,194
B,709|C,121
B,310|C,894
B,480|C,291
B,553|C,574
B,468|C,350
B,188|C,078
B,786|C,221
B,726|C,491
B,744|C,028
B,529|C,458
B,849|C,187
B,453|C,895
B,771|C,913
B,904|C,323
B,889|C,082
B,158|C,191
B,174|C,989
B,047|C,285
B,349|C,087
B,123|C,537
B,110|C,858
B,556|C,672
B,373|C,466
B,265|C,615
B,783|C,836
B,939|C,258
B,750|C,372
B,328|C,654
B,002|C,083
B,933|C,682
B,343|C,101
B,983|C,631
B,052|C,065
B,370|C,675
B,973|C,793
B,362|C,504
B,784|C,832
B,408|C,487
B,672|C,539
B,235|C,742
B,257|C,652
B,003|C,249
B,452|C,790
B,674|C,382
B,969|C,755
B,327|C,663
B,652|C,587
B,388|C,062
B,712|C,605
B,801|C,141
B,197|C,013
B,205|C,635
B,137|C,494
B,279|C,590
B,021|C,255
B,919|C,134
B,632|C,220
B,900|C,373
B,769|C,773
B,721|C,864
B,669|C,905
B,932|C,907
B,802|C,246
B,513|C,953
B,981|C,283
B,229|C,331
B,891|C,199
B,670|C,059
B,714|C,970
B,341|C,100
B,066|C,274
B,459|C,075
B,285|C,520
B,088|C,415
B,887|C,917
B,176|C,759
B,276|C,791
B,831|C,273
B,331|C,403
B,223|C,750
B,655|C,272
B,640|C,109
B,876|C,928
B,822|C,271
B,515|C,713
B,521|C,936
B,986|C,215
B,395|C,010
B,469|C,173
B,243|C,079
B,944|C,409
B,324|C,684
B,473|C,692
B,795|C,493
B,087|C,056
B,115|C,906
B,574|C,775
B,862|C,796
B,217|C,820
B,638|C,847
B,565|C,307
B,442|C,985
B,454|C,188
B,444|C,092
B,058|C,051
B,854|C,810
B,935|C,242
B,016|C,756
B,609|C,611
B,299|C,161
B,182|C,698
B,253|C,085
B,245|C,265
B,611|C,320
B,734|C,992
B,497|C,822
B,314|C,070
B,227|C,719
B,465|C,004
B,154|C,205
B,218|C,528
B,220|C,762
B,411|C,963
B,363|C,189
B,109|C,386
B,397|C,453
B,389|C,689
B,599|C,499
B,242|C,701
B,291|C,066
B,613|C,908
B,701|C,930
B,825|C,914
B,156|C,327
